time,open,high,low,close
1431907200,236.45053453,237.14615221,231.45488802,233.87112642
1431993600,233.50479872,234.767588,231.40820159,232.5606136
1432080000,232.18025969,235.31606323,231.40820316,234.20282191
1432166400,234.27593038,236.77969006,233.38419702,236.12694828
1432252800,235.6938186,241.75660295,234.57503738,240.66023857
1432339200,240.90665049,242.91627791,238.06927654,238.8147651
1432425600,238.96581013,243.10905165,238.01,241.54928752
1432512000,241.77788153,242.58130436,235.84745985,238.11319347
1432598400,237.83525765,239.88042375,235.9632167,237.50538232
1432684800,237.50593807,240.47286471,235.64628451,237.42680082
1432771200,237.18628832,239.95112149,235.57947445,238.17354488
1432857600,238.28367959,239.44342902,235.47490598,238.44924054
1432944000,237.8687073,239.04268448,231.50349729,234.23285357
1433030400,234.23068789,234.62377742,228.55248131,231.55720091
1433116800,229.99873738,233.51051089,221.22472846,223.74024135
1433203200,223.11126965,227.17625792,221.59985299,225.69028662
1433289600,226.14400142,228.34604993,222.90978081,225.6727209
1433376000,225.88623762,227.92546667,223.36039515,224.74399577
1433462400,225.07929005,226.979,222.70470052,224.53
1433548800,224.75851819,227.26591674,223.76675195,225.83900844
1433635200,225.60005506,226.84688994,222.1239681,223.21040572
1433721600,223.24561202,229.96024901,222.74285346,228.71684168
1433808000,228.77942873,231.4108754,227.49,229.22052594
1433894400,229.15861123,230.09474161,227.77381075,228.8153629
1433980800,228.513653,230.69456906,228.14156036,229.87648077
1434067200,229.88012481,231.59467934,229.11303699,229.93129818
1434153600,229.97645453,233.23730344,228.64692125,232.6658408
1434240000,232.74339543,235.82886243,231.73,234.11442606
1434326400,233.68907645,238.70340069,233.45143639,237.33169205
1434412800,237.31124084,253.94230237,235.50553072,252.30091549
1434499200,252.53205292,259.18716958,246.52974668,250.38783543
1434585600,249.68826424,253.78100414,243.85977236,249.01789074
1434672000,249.80518633,252.2691016,243.79518093,245.21739351
1434758400,244.48453447,247.05767653,239.62082339,245.22803254
1434844800,245.56374587,246.84536794,240.94,244.37352992
1434931200,244.58123664,248.9947094,243.1279713,246.95917506
1435017600,247.05196991,248.44159515,242.79745595,244.15796545
1435104000,244.1983442,245.30304814,239.4,240.16912233
1435190400,239.87886073,243.81780036,238.99,242.59699396
1435276800,242.57078315,243.42327889,239.8,241.39
1435363200,242.88206546,252.52164399,241.17,251.81434635
1435449600,251.71941817,252.41419954,247.06013743,248.81392697
1435536000,248.55789652,257.92990256,248.13839017,257.00829829
1435622400,257.03001263,268.57142633,255.14402,263.23080575
1435708800,263.40837579,265.35881809,254.34026564,258.73818655
1435795200,258.63631059,262.19188938,253.25926526,254.60144285
1435881600,254.31834748,256.84022023,252.04249422,255.53744229
1435968000,255.96780736,261.21302453,252.4229919,260.00724879
1436054400,260.09978921,274.40178188,257.86404512,271.73537524
1436140800,271.54026982,278.00038254,267.24197666,269.34572114
